"date","value"
"2016-09-04",5
"2016-09-11",4
"2016-09-18",4
"2016-09-25",4
"2016-10-02",4
"2016-10-09",4
"2016-10-16",4
"2016-10-23",5
"2016-10-30",5
"2016-11-06",5
"2016-11-13",5
"2016-11-20",5
"2016-11-27",5
"2016-12-04",5
"2016-12-11",5
"2016-12-18",7
"2016-12-25",9
"2017-01-01",13
"2017-01-08",9
"2017-01-15",7
"2017-01-22",7
"2017-01-29",7
"2017-02-05",8
"2017-02-12",7
"2017-02-19",8
"2017-02-26",10
"2017-03-05",11
"2017-03-12",10
"2017-03-19",9
"2017-03-26",8
"2017-04-02",7
"2017-04-09",7
"2017-04-16",7
"2017-04-23",8
"2017-04-30",12
"2017-05-07",16
"2017-05-14",17
"2017-05-21",37
"2017-05-28",22
"2017-06-04",23
"2017-06-11",25
"2017-06-18",19
"2017-06-25",19
"2017-07-02",14
"2017-07-09",16
"2017-07-16",20
"2017-07-23",19
"2017-07-30",28
"2017-08-06",27
"2017-08-13",37
"2017-08-20",28
"2017-08-27",28
"2017-09-03",29
"2017-09-10",35
"2017-09-17",25
"2017-09-24",21
"2017-10-01",20
"2017-10-08",32
"2017-10-15",33
"2017-10-22",34
"2017-10-29",51
"2017-11-05",54
"2017-11-12",58
"2017-11-19",53
"2017-11-26",100